code,cname,pe,pb,mv
603816,顾家家居,14.13,2.72,25322477700.0
002948,青岛银行,4.09,0.61,21593516026.0
002568,百润股份,28.42,5.46,22876243219.0
603316,诚邦股份,-144.1,2.06,1532731200.0
002148,北纬科技,141.51,2.48,3001357116.0
301278,快可电子,22.06,2.5,3083628442.0
002723,小崧股份,225.05,1.43,1777658437.0
001696,宗申动力,29.35,3.44,16545638994.0
301548,崇德科技,35.24,3.09,4443090000.0
002918,蒙娜丽莎,21.69,0.87,3583015870.0
603663,三祥新材,53.54,5.07,6720344162.0
001316,润贝航科,27.4,2.09,2426797800.0
600985,淮北矿业,8.04,1.16,47185892582.0
300099,尤洛卡,62.14,1.82,4305629089.0
000099,中信海直,51.41,2.63,13614765904.0
832885,星辰科技,123.55,4.41,1637904000.0
